mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_select__k,param_clf__solver,param_clf__penalty,param_clf__class_weight,param_clf__C,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.5620126724243164,0.009122629041382642,0.006199836730957031,0.0011662612630144952,30,lbfgs,l2,"{0: 1, 1: 3}",1.0,"{'select__k': 30, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 3}, 'clf__C': 1.0}",0.8339920948616601,0.6857707509881423,0.7687747035573123,0.7529644268774703,0.8404040404040405,0.7763812033377251,0.05698139489675125,3,0.6666666666666666,0.46153846153846156,0.41379310344827586,0.5,0.56,0.5203996463306808,0.08741621002949229,1,0.8330039525691699,0.674901185770751,0.642292490118577,0.6966403162055336,0.7404040404040404,0.7174483970136144,0.06598742264386068,2,0.5936570150279827,0.4264403397802607,0.4347572768519288,0.4660776597140233,0.5119157680170957,0.48656961187825826,0.06136791844568769,6,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6181818181818182,0.1060173071790055,3
0.5454141139984131,0.008935842948228688,0.003999471664428711,0.001094495184886131,90,lbfgs,l2,balanced,0.3,"{'select__k': 90, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': 0.3}",0.8181818181818181,0.6699604743083004,0.758893280632411,0.6897233201581028,0.9272727272727272,0.772806324110672,0.09337283578665243,5,0.5185185185185185,0.42857142857142855,0.5161290322580645,0.2857142857142857,0.8,0.5097866530124595,0.16801464012819617,2,0.7203557312252964,0.6531620553359684,0.733201581027668,0.5602766798418972,0.9101010101010101,0.715419411506368,0.11505367723133325,3,0.5694404525955328,0.41494956149106343,0.4058918128654971,0.4171549834964101,0.7338835407017225,0.5082640702300452,0.1281680440045772,2,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.6181818181818182,0.2104697618689132,3
0.007800102233886719,0.0007483283255738134,0.006399917602539063,0.0004896483431334988,60,lbfgs,l2,balanced,0.1,"{'select__k': 60, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': 0.1}",0.808300395256917,0.6778656126482213,0.7865612648221344,0.782608695652174,0.8626262626262625,0.7835924462011418,0.060074573435916066,1,0.4,0.56,0.4375,0.5454545454545454,0.5925925925925926,0.5071094276094276,0.0746900717643633,3,0.6314229249011858,0.7420948616600791,0.6660079051383399,0.7183794466403162,0.7747474747474747,0.7065305226174792,0.051656568860146475,5,0.46079846079846076,0.459418560505517,0.4455795716685009,0.4626484278521896,0.5967712277273406,0.4850432497104018,0.056189830910300755,7,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.6181818181818182,0.06803013430498077,3
0.32479219436645507,0.2578520830487403,0.0051996707916259766,0.0017206951669982797,90,lbfgs,l2,"{0: 1, 1: 4}",0.1,"{'select__k': 90, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 4}, 'clf__C': 0.1}",0.8221343873517786,0.6877470355731226,0.7628458498023716,0.7173913043478262,0.9171717171717171,0.7814580588493631,0.08161553773286342,2,0.5185185185185185,0.42857142857142855,0.5,0.2857142857142857,0.8,0.5065608465608464,0.1680167373528073,4,0.7203557312252964,0.6531620553359684,0.7223320158102766,0.5602766798418972,0.9101010101010101,0.7132454984628896,0.11479955773262734,4,0.5236596736596737,0.4425021435891001,0.41114870642382606,0.4353436911750309,0.7328012896194714,0.5090911008934205,0.11808808082255991,1,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.6181818181818182,0.2104697618689132,3
0.5725292682647705,0.01269894095994303,0.0060002803802490234,0.0008944156994373109,75,lbfgs,l2,balanced,3.0,"{'select__k': 75, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': 3.0}",0.808300395256917,0.6660079051383399,0.7964426877470355,0.658102766798419,0.806060606060606,0.7469828722002635,0.06950238708522179,10,0.5384615384615384,0.41379310344827586,0.5714285714285714,0.4,0.6086956521739131,0.5064757731024597,0.08440145305073152,5,0.7312252964426877,0.642292490118577,0.7658102766798419,0.6274703557312253,0.7626262626262625,0.7058849363197189,0.05940640376622452,6,0.5783571500962805,0.3975682160976278,0.42908647192534655,0.44808095400628234,0.5312699576409254,0.47687254995329253,0.06731989995250477,10,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.36363636363636365,0.6363636363636364,0.5818181818181818,0.1233150906022776,7
0.00839991569519043,0.001854784671626249,0.005200004577636719,0.00039978030187482947,30,lbfgs,l2,balanced,3.0,"{'select__k': 30, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': 3.0}",0.8339920948616601,0.6739130434782609,0.7766798418972332,0.7411067193675889,0.8363636363636364,0.7724110671936759,0.06096261047266998,6,0.5806451612903226,0.4,0.45714285714285713,0.4444444444444444,0.6428571428571429,0.5050179211469534,0.09133352296788627,6,0.7895256916996047,0.6314229249011858,0.6897233201581028,0.6640316205533596,0.8202020202020202,0.7189811155028546,0.0731629839522347,1,0.6253518762877052,0.3901619385234607,0.4400633274960316,0.44711425260918325,0.5149829113538791,0.48353486125405193,0.08128441829616179,8,0.8181818181818182,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.6909090909090909,0.12331509060227765,1
0.5703445911407471,0.012615923153050178,0.005901718139648437,0.0006623514540216988,75,lbfgs,l2,"{0: 1, 1: 3}",0.3,"{'select__k': 75, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 3}, 'clf__C': 0.3}",0.8122529644268774,0.6719367588932806,0.7845849802371542,0.6739130434782609,0.8565656565656565,0.759850680720246,0.07459987481058339,9,0.5384615384615384,0.46153846153846156,0.5185185185185185,0.3,0.5714285714285714,0.477989417989418,0.09589705691404847,7,0.7312252964426877,0.674901185770751,0.7203557312252964,0.5711462450592886,0.7282828282828282,0.6851822573561704,0.06053875859326423,8,0.5000166500166501,0.42184529499107504,0.43261496957149137,0.41321630810267174,0.6357733175914994,0.48069330805467747,0.083367813570803,9,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.2727272727272727,0.5454545454545454,0.5272727272727272,0.133608531424537,8
0.006200313568115234,0.0007483282799974919,0.006399965286254883,0.002416580094811086,30,lbfgs,l2,"{0: 1, 1: 3}",0.03,"{'select__k': 30, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 3}, 'clf__C': 0.03}",0.7648221343873518,0.691699604743083,0.7806324110671936,0.7509881422924901,0.8686868686868686,0.7713658322353975,0.057204950224657054,7,0.4,0.5217391304347826,0.4666666666666667,0.4,0.5833333333333334,0.4743478260869566,0.07104642878469108,8,0.6294466403162056,0.7075098814229248,0.6877470355731226,0.6274703557312253,0.7515151515151515,0.680737812911726,0.047420482695074366,9,0.4778102453102453,0.4116656952938402,0.4479092876820149,0.48162347836260877,0.6177538370720189,0.48735250874414565,0.06987509488830164,5,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.5272727272727272,0.10601730717900545,8
0.5419931411743164,0.005112766566642622,0.003888511657714844,0.0007922586833398133,30,lbfgs,l2,"{0: 1, 1: 2}",0.3,"{'select__k': 30, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 2}, 'clf__C': 0.3}",0.816205533596838,0.6897233201581028,0.758893280632411,0.7411067193675889,0.8484848484848484,0.7708827404479578,0.056024017760988795,8,0.5,0.5454545454545454,0.46153846153846156,0.35294117647058826,0.47619047619047616,0.4672249319308143,0.06382408825905764,9,0.683794466403162,0.7183794466403162,0.674901185770751,0.6037549407114624,0.6717171717171717,0.6705094422485727,0.03726912578624709,10,0.5560302176278877,0.5037065707305844,0.42905622998127746,0.4400905638862353,0.5905682429931001,0.503890365043817,0.06309075198780625,3,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.45454545454545453,0.4545454545454545,0.09958591954639383,10
0.006600141525268555,0.001496783955587603,0.006599903106689453,0.0016244904023870871,30,lbfgs,l2,balanced,0.03,"{'select__k': 30, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': 0.03}",0.7628458498023716,0.6976284584980237,0.7845849802371542,0.7490118577075099,0.8707070707070708,0.772955643390426,0.05663970445009861,4,0.45161290322580644,0.4444444444444444,0.45714285714285713,0.4,0.5625,0.46314004096262157,0.05362356325350466,10,0.6768774703557312,0.6640316205533596,0.6897233201581028,0.6294466403162056,0.7757575757575758,0.6871673254281949,0.048636580903157436,7,0.4770594945594945,0.41375440413158016,0.4500671468731222,0.47840916788285215,0.6285242982823628,0.4895629023458824,0.07334555700413174,4,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.45454545454545453,0.8181818181818182,0.6363636363636364,0.12856486930664504,2
