mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_select__k,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,param_clf__class_weight,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.23627886772155762,0.0067742413973538584,0.24459362030029297,0.027732456329442146,45,200,5,2,0.5,4,balanced,"{'select__k': 45, 'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 0.5, 'clf__max_depth': 4, 'clf__class_weight': 'balanced'}",0.8418972332015809,0.8003952569169961,0.8675889328063242,0.7806324110671936,0.9373737373737373,0.8455775142731664,0.05510698032077454,5,0.38095238095238093,0.6,0.5714285714285714,0.5333333333333333,0.8,0.5771428571428571,0.13463312035864605,1,0.616600790513834,0.7401185770750989,0.7292490118577075,0.6818181818181819,0.8525252525252525,0.7240623627580149,0.07761440295060908,2,0.5075559516735988,0.5759052492499012,0.7415183301546938,0.6079121560222542,0.8496928156019066,0.656516900540471,0.12295706648832926,2,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.7272727272727273,0.5090909090909091,0.1360602686099615,3
0.5763733386993408,0.06460192817323929,0.17489633560180665,0.07703110913544624,90,300,5,2,0.5,3,"{0: 1, 1: 4}","{'select__k': 90, 'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 0.5, 'clf__max_depth': 3, 'clf__class_weight': {0: 1, 1: 4}}",0.8359683794466404,0.8241106719367589,0.8557312252964426,0.7707509881422925,0.9414141414141414,0.8455950812472551,0.05556964137212774,4,0.43478260869565216,0.5217391304347826,0.6956521739130435,0.47058823529411764,0.6956521739130435,0.5636828644501278,0.11124114348086496,2,0.6511857707509882,0.7075098814229248,0.8201581027667983,0.6600790513833992,0.8191919191919192,0.7316249451032059,0.07440014372550134,1,0.5360625485625485,0.5612517925830619,0.5911049957172952,0.6040578782527384,0.8547021160657524,0.6294358662362793,0.1150876410171112,8,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.5636363636363637,0.14545454545454545,1
0.7061460494995118,0.07459307551808385,0.06089692115783692,0.01086097563879922,30,500,10,4,sqrt,3,balanced,"{'select__k': 30, 'clf__n_estimators': 500, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': 3, 'clf__class_weight': 'balanced'}",0.7905138339920947,0.7826086956521738,0.8715415019762845,0.766798418972332,0.9333333333333333,0.8289591567852437,0.06355720300551926,10,0.5,0.4,0.56,0.5,0.782608695652174,0.5485217391304348,0.12782478555977572,3,0.6966403162055336,0.6294466403162056,0.7420948616600791,0.6709486166007905,0.8757575757575757,0.7229776021080369,0.08468281848930442,3,0.5073361389343793,0.4867067008494077,0.6388403263403263,0.571503415359397,0.8756944444444444,0.616016205185591,0.14033347542280314,10,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.8181818181818182,0.5636363636363637,0.1564059139462296,1
0.4271073341369629,0.10080942281423678,0.20251226425170898,0.04205142414684998,60,300,10,4,0.5,4,"{0: 1, 1: 4}","{'select__k': 60, 'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 0.5, 'clf__max_depth': 4, 'clf__class_weight': {0: 1, 1: 4}}",0.8359683794466404,0.8478260869565217,0.8675889328063242,0.7727272727272728,0.9434343434343434,0.8535090030742205,0.055046286397607454,1,0.36363636363636365,0.6,0.5714285714285714,0.47058823529411764,0.7,0.5411306340718106,0.11498129304022357,4,0.6057312252964426,0.7401185770750989,0.7292490118577075,0.6600790513833992,0.795959595959596,0.7062274923144489,0.0662715997963511,4,0.5436340833079963,0.6578674948240166,0.6622614758978396,0.6019884582502137,0.8554407713498622,0.6642384567259857,0.10490309807060845,1,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.4909090909090909,0.10909090909090907,4
0.48595738410949707,0.0690817010513685,0.1760535717010498,0.027490383383313218,45,300,5,2,0.5,8,"{0: 1, 1: 3}","{'select__k': 45, 'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 0.5, 'clf__max_depth': 8, 'clf__class_weight': {0: 1, 1: 3}}",0.8715415019762845,0.8181818181818181,0.8458498023715415,0.7450592885375494,0.9111111111111111,0.838348704435661,0.05578891381593004,6,0.3157894736842105,0.5555555555555556,0.4444444444444444,0.42857142857142855,0.7058823529411765,0.4900486510393631,0.13198544984198288,5,0.5820158102766798,0.7055335968379447,0.6492094861660079,0.6363636363636364,0.7727272727272727,0.6691699604743082,0.06498761774920252,6,0.6205960705960706,0.6115389783998063,0.6404726879885443,0.5584907516725699,0.8146673958839734,0.6491531769081929,0.08708653072777886,4,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.3818181818181818,0.10601730717900545,7
0.44276719093322753,0.046678060810057896,0.0593620777130127,0.02210022347206693,90,200,2,4,0.5,6,balanced,"{'select__k': 90, 'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': 0.5, 'clf__max_depth': 6, 'clf__class_weight': 'balanced'}",0.8438735177865613,0.8241106719367589,0.8675889328063241,0.7845849802371542,0.9333333333333335,0.8506982872200265,0.04947381707318085,3,0.2857142857142857,0.5,0.5,0.4,0.7368421052631579,0.48451127819548867,0.14887111718310964,6,0.5602766798418972,0.683794466403162,0.683794466403162,0.6254940711462451,0.807070707070707,0.6720860781730347,0.0814459077210052,5,0.5430461962280144,0.6177719062464545,0.6504024160915657,0.5947830642494675,0.8115856365856365,0.6435178438802278,0.09102380382257466,6,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.6363636363636364,0.41818181818181815,0.1360602686099615,5
0.4235665798187256,0.032436499567137046,0.14690098762512208,0.03029756937877593,90,300,10,2,0.5,6,"{0: 1, 1: 3}","{'select__k': 90, 'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': 0.5, 'clf__max_depth': 6, 'clf__class_weight': {0: 1, 1: 3}}",0.8577075098814229,0.8438735177865613,0.8458498023715415,0.7687747035573123,0.9434343434343435,0.8519279754062363,0.055539361722319366,2,0.35294117647058826,0.47058823529411764,0.4444444444444444,0.4,0.7368421052631579,0.4809631922944616,0.13405965226081396,7,0.6037549407114624,0.6600790513833992,0.6492094861660079,0.6254940711462451,0.807070707070707,0.6691216512955643,0.07167199944865871,7,0.5732278832278832,0.6306908260504949,0.6286916605098424,0.5855069766834473,0.8639654463183875,0.6564165585580111,0.10625963353993446,3,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.6363636363636364,0.38181818181818183,0.133608531424537,6
0.48735790252685546,0.06548779898427469,0.08617577552795411,0.024494823523761262,30,300,5,2,sqrt,6,"{0: 1, 1: 2}","{'select__k': 30, 'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 6, 'clf__class_weight': {0: 1, 1: 2}}",0.8458498023715415,0.7984189723320158,0.8379446640316205,0.7470355731225297,0.9171717171717172,0.8292841458058848,0.056198109213736094,9,0.3333333333333333,0.5,0.5,0.3076923076923077,0.5882352941176471,0.44585218702865764,0.1075969936184261,8,0.592885375494071,0.6709486166007905,0.6709486166007905,0.5909090909090909,0.7161616161616161,0.6483706631532719,0.04898079359286385,8,0.5531024531024531,0.5627992762201226,0.6073936164845256,0.5718695007232557,0.8382173382173382,0.6266764369495391,0.10734859393096265,9,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.32727272727272727,0.09270944570168699,8
0.37513232231140137,0.07398682342449744,0.2108301639556885,0.04623187059978294,30,300,2,2,sqrt,8,balanced,"{'select__k': 30, 'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 8, 'clf__class_weight': 'balanced'}",0.841897233201581,0.7924901185770751,0.8794466403162056,0.7509881422924901,0.9171717171717172,0.8363987703118138,0.05938108491146957,8,0.4,0.375,0.47058823529411764,0.3076923076923077,0.625,0.4356561085972851,0.10807091988097665,9,0.6274703557312253,0.6146245059288538,0.6600790513833992,0.5909090909090909,0.7272727272727273,0.6440711462450593,0.047217901502634434,9,0.5761426333618846,0.5535380400597791,0.6528865470041941,0.5447432298785105,0.8343864916445562,0.6323393883897849,0.10796854395702016,7,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.32727272727272727,0.09270944570168699,8
0.27423911094665526,0.02701699929437553,0.2508749008178711,0.02360712900540481,60,200,10,4,sqrt,8,"{0: 1, 1: 3}","{'select__k': 60, 'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': 8, 'clf__class_weight': {0: 1, 1: 3}}",0.8142292490118577,0.8221343873517787,0.8043478260869565,0.8122529644268774,0.9353535353535353,0.8376635924462011,0.049171719336915214,7,0.35294117647058826,0.4,0.35294117647058826,0.3076923076923077,0.5333333333333333,0.38938159879336354,0.07767084570154816,10,0.6037549407114624,0.6254940711462451,0.6037549407114624,0.5909090909090909,0.6818181818181819,0.6211462450592885,0.03230847544127645,10,0.5330698516043344,0.6388054864525453,0.6011631616880823,0.5807870757631524,0.8648989898989898,0.6437449130814208,0.11572328001999231,5,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.27272727272727276,0.0574959574576069,10
