mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_select__k,param_ros__sampling_strategy,param_clf__solver,param_clf__penalty,param_clf__class_weight,param_clf__C,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.0069997310638427734,0.0014141447863536265,0.004799938201904297,0.000980075307761421,30,0.5,lbfgs,l2,"{0: 1, 1: 2}",0.3,"{'select__k': 30, 'ros__sampling_strategy': 0.5, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 2}, 'clf__C': 0.3}",0.849802371541502,0.6798418972332015,0.7628458498023715,0.7707509881422925,0.8565656565656565,0.7839613526570048,0.06491173068556025,2,0.6,0.4444444444444444,0.4117647058823529,0.5217391304347826,0.6666666666666666,0.5289229894856493,0.09480459677359264,1,0.8003952569169961,0.6640316205533596,0.6442687747035574,0.7075098814229248,0.8313131313131313,0.7295037329819938,0.07406225338102009,1,0.5327755577755577,0.4559547622545258,0.42463776673241865,0.47727844623524,0.5787328192980938,0.4938758704591672,0.05517479023173225,5,0.8181818181818182,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.8181818181818182,0.6727272727272727,0.12331509060227765,3
0.007008552551269531,0.0008919977467532101,0.005400180816650391,0.0004899792418945042,90,0.75,lbfgs,l2,,0.03,"{'select__k': 90, 'ros__sampling_strategy': 0.75, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': 0.03}",0.8102766798418972,0.7075098814229249,0.7707509881422925,0.7707509881422925,0.907070707070707,0.7932718489240228,0.06574015181058557,1,0.4,0.5833333333333334,0.5161290322580645,0.3333333333333333,0.6,0.4865591397849462,0.1039991195031966,2,0.6294466403162056,0.7529644268774703,0.733201581027668,0.592885375494071,0.7393939393939394,0.6895783926218708,0.06537236082958411,5,0.5422117098587687,0.5300483829895595,0.447451447754605,0.510716357008223,0.6993719098734773,0.5459599614969266,0.08336485178143825,1,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.2727272727272727,0.5454545454545454,0.5272727272727272,0.15640591394622957,6
0.006599903106689453,0.0011998017823761148,0.003000211715698242,4.1019083342755444e-07,75,1.0,lbfgs,l2,,1.0,"{'select__k': 75, 'ros__sampling_strategy': 1.0, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': 1.0}",0.8201581027667983,0.6501976284584979,0.7806324110671936,0.6758893280632411,0.8888888888888888,0.763153271848924,0.08914986226235432,7,0.5,0.42857142857142855,0.5,0.38095238095238093,0.5833333333333334,0.47857142857142854,0.06917066212539978,3,0.6966403162055336,0.6531620553359684,0.7094861660079052,0.616600790513834,0.7515151515151515,0.6854808959156785,0.04658387047588217,6,0.61500999000999,0.42810817128998946,0.4202405248441054,0.4414966812200014,0.6313127454838685,0.507233622569591,0.09503826142338691,3,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.5454545454545454,0.09958591954639383,5
0.009399700164794921,0.0013567122245119487,0.0042002201080322266,0.0011665066131934234,30,1.0,lbfgs,l2,"{0: 1, 1: 2}",1.0,"{'select__k': 30, 'ros__sampling_strategy': 1.0, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 2}, 'clf__C': 1.0}",0.8399209486166008,0.6581027667984188,0.7885375494071146,0.7588932806324111,0.8484848484848485,0.7787878787878788,0.06877596554099889,3,0.5454545454545454,0.3333333333333333,0.42857142857142855,0.5625,0.5,0.47397186147186143,0.08421978902892574,4,0.7677865612648221,0.5662055335968379,0.6699604743083004,0.7786561264822134,0.7313131313131314,0.702784365393061,0.07813691215374155,2,0.5813630149754552,0.3844325211941467,0.44065734989648037,0.440473756571651,0.5414905356081826,0.47768343564918314,0.0724872753859192,8,0.8181818181818182,0.5454545454545454,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7636363636363638,0.10909090909090914,1
0.010999822616577148,0.0017888846662430604,0.004999828338623047,0.0008945756167330539,75,1.0,lbfgs,l2,"{0: 1, 1: 2}",1.0,"{'select__k': 75, 'ros__sampling_strategy': 1.0, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 2}, 'clf__C': 1.0}",0.8201581027667983,0.6521739130434783,0.7786561264822134,0.6837944664031621,0.8666666666666666,0.7602898550724638,0.08096685057592123,8,0.4666666666666667,0.41379310344827586,0.48484848484848486,0.3333333333333333,0.6666666666666666,0.4730616509926855,0.11018120606975902,5,0.6877470355731226,0.642292490118577,0.7114624505928854,0.5839920948616601,0.8313131313131313,0.6913614404918753,0.08238874749081194,4,0.5998755630334578,0.41375345696869326,0.41990382450740504,0.4447386183102636,0.6016069788797062,0.49597568833990513,0.0861693851043092,4,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.36363636363636365,0.8181818181818182,0.6181818181818182,0.1564059139462296,4
0.008199834823608398,0.0014697560986190854,0.004999828338623047,0.0008942557764274189,45,1.0,lbfgs,l2,"{0: 1, 1: 2}",0.1,"{'select__k': 45, 'ros__sampling_strategy': 1.0, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 2}, 'clf__C': 0.1}",0.8241106719367589,0.6422924901185771,0.7806324110671936,0.7845849802371541,0.8606060606060606,0.7784453227931488,0.07404834035186467,4,0.46153846153846156,0.3870967741935484,0.4444444444444444,0.5,0.5454545454545454,0.4677068451262,0.05322541598781654,6,0.7025691699604744,0.6205533596837944,0.6788537549407114,0.7351778656126482,0.7646464646464647,0.7003601229688188,0.049358954910959416,3,0.47382631736080016,0.429781003310415,0.422406051196805,0.43783137152702367,0.5740579496261314,0.46758053860423504,0.056090999158407685,10,0.8181818181818182,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.7454545454545455,0.1060173071790055,2
0.012800025939941406,0.0023153497325643473,0.006199932098388672,0.0007482390453521318,60,0.5,lbfgs,l2,,3.0,"{'select__k': 60, 'ros__sampling_strategy': 0.5, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': 3.0}",0.8814229249011858,0.6482213438735178,0.7826086956521738,0.7588932806324111,0.7858585858585858,0.7714009661835749,0.07452399468206644,5,0.64,0.45454545454545453,0.4,0.5555555555555556,0.23529411764705882,0.4570790255496139,0.13828281843306592,7,0.7984189723320159,0.6620553359683794,0.6294466403162056,0.7055335968379447,0.5464646464646464,0.6683838383838384,0.08331828767867017,7,0.58339005023497,0.4184015541700551,0.4233520103085321,0.5963363218612424,0.4248989132446452,0.48927576996388894,0.08225926787426174,6,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.4545454545454545,0.17248787237282068,9
0.012799739837646484,0.003970052949739463,0.004799985885620117,0.0015999853621539645,90,0.5,lbfgs,l2,"{0: 1, 1: 2}",3.0,"{'select__k': 90, 'ros__sampling_strategy': 0.5, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': {0: 1, 1: 2}, 'clf__C': 3.0}",0.7747035573122529,0.6719367588932806,0.758893280632411,0.6877470355731226,0.8747474747474747,0.7536056214317084,0.07232646445476831,10,0.4166666666666667,0.4444444444444444,0.5,0.2857142857142857,0.5833333333333334,0.44603174603174606,0.09831664539334557,8,0.6403162055335968,0.6640316205533596,0.7223320158102766,0.5602766798418972,0.7515151515151515,0.6676943346508565,0.06680229866621987,8,0.5328414010232192,0.4507358315226917,0.407713474441585,0.4418278723557316,0.6117930300486081,0.4889823218783671,0.07388782113815917,7,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.5272727272727272,0.15640591394622957,6
0.007799673080444336,0.0009797248938473641,0.003201007843017578,0.000402450646269369,60,1.0,lbfgs,l2,balanced,3.0,"{'select__k': 60, 'ros__sampling_strategy': 1.0, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': 3.0}",0.8616600790513833,0.6462450592885376,0.7786561264822134,0.766798418972332,0.7797979797979798,0.7666315327184893,0.06905259102733914,6,0.5333333333333333,0.43478260869565216,0.46153846153846156,0.5263157894736842,0.2727272727272727,0.4457394931536808,0.09430600140181261,9,0.7440711462450593,0.6511857707509882,0.674901185770751,0.6946640316205533,0.5474747474747474,0.6624593763724198,0.06511678506950909,9,0.5451298701298701,0.41988108445327693,0.4181999325861218,0.6079808711502075,0.38664446758674265,0.4755672451812439,0.08564057981835525,9,0.7272727272727273,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.49090909090909085,0.14770978917519928,8
0.011506414413452149,0.003275601795861948,0.005800056457519531,0.0017206452462018484,90,0.5,lbfgs,l2,,3.0,"{'select__k': 90, 'ros__sampling_strategy': 0.5, 'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': 3.0}",0.7865612648221344,0.6798418972332017,0.7549407114624506,0.6857707509881423,0.8868686868686868,0.7587966622749232,0.07583511539765288,9,0.45454545454545453,0.5,0.4444444444444444,0.3,0.47619047619047616,0.43503607503607505,0.0701681853064616,10,0.6620553359683794,0.6966403162055336,0.6640316205533596,0.5711462450592886,0.6717171717171717,0.6531181379007466,0.04279830111632624,10,0.5827756035402212,0.5045199680741907,0.40204752583939185,0.43891411944197867,0.6259402980659665,0.5108395029923498,0.08422812737074442,2,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.45454545454545453,0.4545454545454545,0.09958591954639383,9
