epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,train_recall,val_recall,train_threshold,val_threshold,lr
1,1.1314783437661662,1.117249329884847,0.5281917536015897,0.49703557312252966,0.3474576271186441,0.3235294117647059,0.9318181818181818,1.0,0.42,0.1,0.0008
2,1.087714243565362,1.1160656694780315,0.7023099850968704,0.5662055335968379,0.44,0.3235294117647059,0.75,1.0,0.48,0.1,0.0008
3,1.0615352053474225,1.115996701675549,0.7708643815201192,0.6343873517786561,0.5274725274725275,0.3235294117647059,0.5454545454545454,1.0,0.52,0.1,0.0008
4,0.9912277622895094,1.1181969789036534,0.822280178837556,0.7094861660079052,0.6021505376344086,0.3235294117647059,0.6363636363636364,1.0,0.54,0.1,0.0008
5,0.9204132144671705,1.153253484190556,0.8631395926477894,0.7470355731225296,0.6666666666666666,0.3235294117647059,0.7272727272727273,1.0,0.55,0.1,0.0008
6,0.8526562772658428,1.259828531951235,0.8539493293591655,0.7173913043478262,0.6588235294117647,0.3235294117647059,0.6363636363636364,1.0,0.64,0.1,0.0008
7,0.8288852380760966,1.3930520844041256,0.86525086934923,0.6936758893280632,0.6216216216216216,0.3235294117647059,0.5227272727272727,1.0,0.7,0.1,0.0008
8,0.7690255045890808,1.6862734828078956,0.903378042722305,0.6897233201581028,0.6753246753246753,0.3235294117647059,0.5909090909090909,1.0,0.67,0.1,0.0008
9,0.6631797953849322,1.4752296481216163,0.9313214108296075,0.658102766798419,0.7792207792207793,0.3235294117647059,0.6818181818181818,1.0,0.76,0.1,0.0008
10,0.5812881843634113,1.4200343521017778,0.9422503725782415,0.6541501976284585,0.8192771084337349,0.3235294117647059,0.7727272727272727,1.0,0.75,0.1,0.0008
11,0.5569821413655638,1.6170934856983654,0.9446100347739691,0.6304347826086957,0.7906976744186046,0.3235294117647059,0.7727272727272727,1.0,0.66,0.1,0.0004
12,0.4740302460965606,1.780499487592463,0.9603825136612022,0.6383399209486166,0.8837209302325582,0.3235294117647059,0.8636363636363636,1.0,0.66,0.1,0.0004
13,0.5120156336460869,2.2291434898711087,0.9557873820168902,0.642292490118577,0.7857142857142857,0.0,0.75,0.0,0.57,0.1,0.0004
14,0.43086567744284476,2.794565991351479,0.968455042225534,0.6482213438735178,0.8717948717948718,0.0,0.7727272727272727,0.0,0.75,0.1,0.0004
15,0.39571992212717755,3.172179364321525,0.9724292101341281,0.6383399209486166,0.8837209302325582,0.0,0.8636363636363636,0.0,0.62,0.1,0.0004
16,0.4813272207318949,3.5369053472552383,0.9354197714853452,0.6363636363636364,0.8266666666666667,0.0,0.7045454545454546,0.0,0.84,0.1,0.0002
17,0.3232343712829808,3.404106299082438,0.9847242921013413,0.6363636363636364,0.9302325581395349,0.0,0.9090909090909091,0.0,0.58,0.1,0.0002
